       1     1215.670  0.416410
       2     1025.720  0.0791420
       3      972.537  0.0290060
       4      949.743  0.0139450
       5      937.803  0.00780350
       6      930.748  0.00481640
       7      926.223  0.00318500
       8      923.148  0.00221720
       9      920.961  0.00160620
      10      919.349  0.00120110
      11      918.127  0.000921900
      12      917.178  0.000723100
      13      916.427  0.000577690
      14      915.821  0.000468860
      15      915.327  0.000385770
      16      914.917  0.000321240
      17      914.574  0.000270350
      18      914.284  0.000229670
      19      914.036  0.000196770
      20      913.823  0.000169870
      21      913.639  0.000147670
      22      913.478  0.000129170
      23      913.337  0.000113640
      24      913.212  0.000100510
      25      913.102  8.93210D-05
      26      913.004  7.97360D-05
      27      912.916  7.14760D-05
      28      912.837  6.43190D-05
      29      912.765  5.80870D-05
      30      912.701  5.26350D-05
      31      912.642  4.78450D-05
      32      912.589  4.36190D-05
      33      912.541  3.98770D-05
      34      912.496  3.65510D-05
      35      912.455  3.35850D-05
      36      912.418  3.09310D-05
      37      912.383  2.85500D-05
      38      912.351  2.64070D-05
      39      912.321  2.44740D-05
